Mission ID,Mission Path,Success (PRED),Domain,Total Goals,Type quantity,Success (PLAN),CPU time,Total time,Total Distance
0,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
",1,journal,1,1,1,0.02,903.5799999999999,3162.5299999999997
1,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_1'] 617.866
",1,journal,2,2,1,0.02,1522446,5328561
2,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_2'] 622.434
",1,journal,2,2,1,0.02,1527014,5344549
3,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_3'] 1174.531
",0,journal,2,2,1,0.04,2079111,7276.888499999999
4,"Go to picture ['base_1', 'region_1'] 617.866
Take Image ['region_1'] 285.714
Go to base ['region_1', 'base_4'] 607.420
",1,journal,2,2,1,0.04,1512.0,5292.0
5,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
",1,journal,1,1,1,0.02,640797,2242.7895
6,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to base ['region_2', 'base_1'] 355.083
",1,journal,2,2,1,0.02,996.8800000000001,3489.0800000000004
7,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to base ['region_2', 'base_2'] 346.163
",1,journal,2,2,1,0.02,987.96,3457.86
8,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to base ['region_2', 'base_3'] 570.563
",1,journal,2,2,1,0.02,1212.3600000000001,4243.26
9,"Go to picture ['base_1', 'region_2'] 355.083
Take Image ['region_2'] 285.714
Go to base ['region_2', 'base_4'] 240.677
",1,journal,2,2,1,0.02,882474,3088659
10,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
",1,journal,1,1,1,0.02,939.2080000000001,3287228
11,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_1'] 653.494
",1,journal,2,2,1,0.02,1593.7020000000002,5577957
12,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_2'] 649.546
",1,journal,2,2,1,0.02,1589.7540000000001,5564139
13,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_3'] 904.983
",1,journal,2,2,1,0.02,1845191,6458.1685
14,"Go to picture ['base_1', 'region_3'] 653.494
Take Image ['region_3'] 285.714
Go to base ['region_3', 'base_4'] 212.943
",1,journal,2,2,1,0.02,1153151,4036.0285000000003
15,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
",1,journal,1,1,1,0.02,1278803,4475.8105000000005
16,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_1'] 993.089
",0,journal,2,2,1,0.02,2272.8920000000003,7955.122000000001
17,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_2'] 990.883
",0,journal,2,2,1,0.02,2270686,7947.401000000001
18,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_3'] 1242.123
",0,journal,2,2,1,0.04,2521.9260000000004,8826.741000000002
19,"Go to picture ['base_1', 'region_4'] 993.089
Take Image ['region_4'] 285.714
Go to base ['region_4', 'base_4'] 549.106
",1,journal,2,2,1,0.02,1828909,6401.181500000001
20,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
",1,journal,1,1,1,0.02,821374,2874809
21,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to base ['region_5', 'base_1'] 535.660
",1,journal,2,2,1,0.02,1358034,4753.119000000001
22,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to base ['region_5', 'base_2'] 524.440
",1,journal,2,2,1,0.02,1346814,4713849
23,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to base ['region_5', 'base_3'] 377.277
",1,journal,2,2,1,0.02,1199651,4198.7785
24,"Go to picture ['base_1', 'region_5'] 535.660
Take Image ['region_5'] 285.714
Go to base ['region_5', 'base_4'] 319.414
",1,journal,2,2,1,0.04,1141788,3996258
25,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
",1,journal,1,1,1,0.02,726768,2543688
26,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to base ['region_6', 'base_1'] 441.054
",1,journal,2,2,1,0.04,1168.8220000000001,4090.8770000000004
27,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to base ['region_6', 'base_2'] 431.529
",1,journal,2,2,1,0.04,1159297,4057.5395
28,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to base ['region_6', 'base_3'] 534.551
",1,journal,2,2,1,0.02,1262319,4418.1165
29,"Go to picture ['base_1', 'region_6'] 441.054
Take Image ['region_6'] 285.714
Go to base ['region_6', 'base_4'] 193.845
",1,journal,2,2,1,0.04,921613,3225.6455
30,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
",1,journal,1,1,1,0.02,1009008,3531.5280000000002
31,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to base ['region_7', 'base_1'] 723.294
",1,journal,2,2,1,0.02,1733.3020000000001,6066.557000000001
32,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to base ['region_7', 'base_2'] 718.457
",1,journal,2,2,1,0.02,1728.4650000000001,6049.6275000000005
33,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to base ['region_7', 'base_3'] 908.231
",1,journal,2,2,1,0.02,1918239,6713.8365
34,"Go to picture ['base_1', 'region_7'] 723.294
Take Image ['region_7'] 285.714
Go to base ['region_7', 'base_4'] 214.180
",1,journal,2,2,1,0.04,1224188,4284658
35,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
",1,journal,1,1,1,0.02,1113045,3895.6575000000003
36,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_1'] 827.331
",1,journal,2,2,1,0.02,1941.3760000000002,6794.816000000001
37,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_2'] 823.877
",1,journal,2,2,1,0.04,1937922,6782727
38,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_3'] 1050.406
",0,journal,2,2,1,0.02,2164451,7575.5785
39,"Go to picture ['base_1', 'region_8'] 827.331
Take Image ['region_8'] 285.714
Go to base ['region_8', 'base_4'] 356.080
",1,journal,2,2,1,0.02,1470125,5145.4375
40,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
",1,journal,1,1,1,0.02,856383,2997.3405000000002
41,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_1'] 570.669
",1,journal,2,2,1,0.0,1428.0520000000001,4998.182000000001
42,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_2'] 559.143
",1,journal,2,2,1,0.02,1416526,4957841
43,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_3'] 321.011
",1,journal,2,2,1,0.02,1178394,4124379
44,"Go to picture ['base_1', 'region_9'] 570.669
Take Image ['region_9'] 285.714
Go to base ['region_9', 'base_4'] 377.531
",1,journal,2,2,1,0.02,1234914,4322199
