           lng            lat            alt
 -50.355750182  -12.823634000         15.000
 -50.355971524  -12.822968000         14.900
 -50.356414208  -12.821618000         14.800
 -50.356856892  -12.820286000         14.700
 -50.357299577  -12.818936000         14.600
 -50.357760706  -12.817586000         14.500
 -50.358203390  -12.816254000         14.400
 -50.358646075  -12.814904000         14.300
 -50.359088759  -12.813572000         14.200
 -50.359531443  -12.812222000         14.100
 -50.359992573  -12.810872000         14.000
 -50.360435257  -12.809540000         13.900
 -50.360877941  -12.808190000         13.800
 -50.361320625  -12.806840000         13.700
 -50.361763310  -12.805508000         13.600
 -50.362224439  -12.804158000         13.500
 -50.362667123  -12.802826000         13.400
 -50.363109808  -12.801476000         13.300
 -50.363552492  -12.800126000         13.200
 -50.363995176  -12.798794000         13.100
 -50.364234964  -12.798110000         13.000
