           lng            lat            alt
 -50.336198293  -12.819908000         15.000
 -50.336640977  -12.819422000         14.900
 -50.337526345  -12.818450000         14.800
 -50.338411714  -12.817496000         14.700
 -50.339297083  -12.816524000         14.600
 -50.340182451  -12.815552000         14.500
 -50.341049375  -12.814598000         14.400
 -50.341934743  -12.813626000         14.300
 -50.342820112  -12.812654000         14.200
 -50.343705480  -12.811682000         14.100
 -50.344590849  -12.810728000         14.000
 -50.345476217  -12.809756000         13.900
 -50.346361586  -12.808784000         13.800
 -50.347246954  -12.807812000         13.700
 -50.348132323  -12.806858000         13.600
 -50.349017692  -12.805886000         13.500
 -50.349903060  -12.804914000         13.400
 -50.350788429  -12.803942000         13.300
 -50.351673797  -12.802988000         13.200
 -50.352559166  -12.802016000         13.100
 -50.352983405  -12.801530000         13.000
