           lng            lat            alt
 -50.325204966  -12.790766000         15.000
 -50.325500089  -12.791522000         14.900
 -50.326071890  -12.793052000         14.800
 -50.326662135  -12.794600000         14.700
 -50.327233936  -12.796130000         14.600
 -50.327805737  -12.797660000         14.500
 -50.328395982  -12.799190000         14.400
 -50.328967783  -12.800738000         14.300
 -50.329539583  -12.802268000         14.200
 -50.330129829  -12.803798000         14.100
 -50.330701630  -12.805328000         14.000
 -50.331273430  -12.806876000         13.900
 -50.331863676  -12.808406000         13.800
 -50.332435476  -12.809936000         13.700
 -50.333007277  -12.811466000         13.600
 -50.333597523  -12.813014000         13.500
 -50.334169323  -12.814544000         13.400
 -50.334741124  -12.816074000         13.300
 -50.335331369  -12.817604000         13.200
 -50.335903170  -12.819134000         13.100
 -50.336198293  -12.819908000         13.000
