           lng            lat            alt
 -50.336290519  -12.820466000         15.000
 -50.336290519  -12.820196000         14.900
 -50.336604087  -12.819656000         14.800
 -50.337544791  -12.819098000         14.700
 -50.338835953  -12.818558000         14.600
 -50.340127116  -12.818000000         14.500
 -50.341418278  -12.817460000         14.400
 -50.342709441  -12.816902000         14.300
 -50.344000603  -12.816362000         14.200
 -50.345291766  -12.815822000         14.100
 -50.346582928  -12.815264000         14.000
 -50.347874090  -12.814724000         13.900
 -50.349165253  -12.814832000         13.800
 -50.350456415  -12.815570000         13.700
 -50.351747578  -12.816326000         13.600
 -50.353038740  -12.817082000         13.500
 -50.354034780  -12.817838000         13.400
 -50.354717252  -12.818594000         13.300
 -50.355399723  -12.819332000         13.200
 -50.355750182  -12.820088000         13.100
 -50.355750182  -12.820466000         13.000
