           lng            lat            alt
 -50.336299741  -12.820466000         15.000
 -50.336843874  -12.820223000         14.900
 -50.337922917  -12.819728000         14.800
 -50.339001960  -12.819242000         14.700
 -50.340081003  -12.818747000         14.600
 -50.341160046  -12.818252000         14.500
 -50.342239089  -12.817766000         14.400
 -50.343318131  -12.817271000         14.300
 -50.344397174  -12.816776000         14.200
 -50.345476217  -12.816290000         14.100
 -50.346555260  -12.815795000         14.000
 -50.347643526  -12.815309000         13.900
 -50.348722569  -12.814814000         13.800
 -50.349801612  -12.814319000         13.700
 -50.350880655  -12.813833000         13.600
 -50.351959697  -12.813338000         13.500
 -50.353038740  -12.812843000         13.400
 -50.354117783  -12.812357000         13.300
 -50.355196826  -12.811862000         13.200
 -50.356275869  -12.811376000         13.100
 -50.356820002  -12.811124000         13.000
