<points start>
20
<px, py, py, vx, vy, vz>
-402.74,435.94,100.00,24.00,0.00,0.00
-342.58,431.19,100.00,23.93,-1.89,0.00
-274.50,420.11,100.00,23.69,-3.86,0.00
-201.67,410.61,100.00,23.80,-3.10,0.00
-128.83,388.44,100.00,22.96,-6.99,0.00
-70.25,334.61,100.00,17.67,-16.24,0.00
-37.00,253.86,100.00,9.14,-22.19,0.00
-22.75,169.95,100.00,4.02,-23.66,0.00
-57.59,100.29,100.00,-10.74,-21.47,0.00
-89.25,22.71,100.00,-9.07,-22.22,0.00
-105.09,-70.70,100.00,-4.01,-23.66,0.00
-94.00,-154.61,100.00,3.14,-23.79,0.00
-46.50,-222.69,100.00,13.73,-19.68,0.00
18.40,-267.03,100.00,19.82,-13.54,0.00
97.56,-284.44,100.00,23.44,-5.16,0.00
176.73,-303.44,100.00,23.34,-5.60,0.00
255.89,-327.19,100.00,22.99,-6.90,0.00
322.39,-365.19,100.00,20.84,-11.91,0.00
382.56,-393.69,100.00,21.69,-10.27,0.00
445.89,-406.35,100.00,23.53,-4.70,0.00
